ISO3,Country,Year,Month,TRA_COV,Total
PRT,Portugal,2010,6,Domestic,261.178
PRT,Portugal,2010,6,International,2143.527
ROU,Romania,2010,6,Total,820.277
ROU,Romania,2010,6,Domestic,68.123
ROU,Romania,2010,6,International,752.154
SVK,Slovakia,2010,6,Total,206.75
SVK,Slovakia,2010,6,Domestic,3.909
SVK,Slovakia,2010,6,International,202.841
SVN,Slovenia,2010,6,Total,143.262
SVN,Slovenia,2010,6,Domestic,0
SVN,Slovenia,2010,6,International,143.262
ESP,Spain,2010,6,Total,14735.901
ESP,Spain,2010,6,Domestic,3381.575
ESP,Spain,2010,6,International,11354.326
SWE,Sweden,2010,6,Total,2556.704
SWE,Sweden,2010,6,Domestic,519.314
SWE,Sweden,2010,6,International,2037.39
CHE,Switzerland,2010,6,Total,3212.916
CHE,Switzerland,2010,6,Domestic,57.327
CHE,Switzerland,2010,6,International,3155.589
GBR,United Kingdom,2010,6,Total,18690.048
GBR,United Kingdom,2010,6,Domestic,1934.658
GBR,United Kingdom,2010,6,International,16755.39
AUT,Austria,2010,7,Total,2401.499
AUT,Austria,2010,7,Domestic,63.735
AUT,Austria,2010,7,International,2337.764
BEL,Belgium,2010,7,Total,2487.914
BEL,Belgium,2010,7,Domestic,9.949
BEL,Belgium,2010,7,International,2477.965
BGR,Bulgaria,2010,7,Total,1147.747
BGR,Bulgaria,2010,7,Domestic,24.164
BGR,Bulgaria,2010,7,International,1123.583
HRV,Croatia,2010,7,Total,806.225
HRV,Croatia,2010,7,Domestic,47.664
HRV,Croatia,2010,7,International,758.561
CYP,Cyprus,2010,7,Total,889.878
CYP,Cyprus,2010,7,Domestic,0.416
CYP,Cyprus,2010,7,International,889.462
CZE,Czechia,2010,7,Total,1412.454
CZE,Czechia,2010,7,Domestic,19.079
CZE,Czechia,2010,7,International,1393.375
DNK,Denmark,2010,7,Total,2626.516
DNK,Denmark,2010,7,Domestic,191.229
DNK,Denmark,2010,7,International,2435.287
EST,Estonia,2010,7,Total,135.412
EST,Estonia,2010,7,Domestic,3.374
EST,Estonia,2010,7,International,132.038
FIN,Finland,2010,7,Total,1303.233
FIN,Finland,2010,7,Domestic,116.757
FIN,Finland,2010,7,International,1186.476
FRA,France,2010,7,Total,12556.643
FRA,France,2010,7,Domestic,2562.835
FRA,France,2010,7,International,9993.808
DEU,Germany,2010,7,Total,17048.855
DEU,Germany,2010,7,Domestic,2090.605
DEU,Germany,2010,7,International,14958.25
GRC,Greece,2010,7,Total,5185.291
GRC,Greece,2010,7,Domestic,676.585
GRC,Greece,2010,7,International,4508.706
HUN,Hungary,2010,7,Total,894.455
HUN,Hungary,2010,7,Domestic,0
HUN,Hungary,2010,7,International,894.455
ISL,Iceland,2010,7,Total,330.756
ISL,Iceland,2010,7,Domestic,0
ISL,Iceland,2010,7,International,330.756
IRL,Ireland,2010,7,Total,2576.637
IRL,Ireland,2010,7,Domestic,32.057
IRL,Ireland,2010,7,International,2544.58
ITA,Italy,2010,7,Total,11618.856
ITA,Italy,2010,7,Domestic,3030.654
ITA,Italy,2010,7,International,8588.202
LVA,Latvia,2010,7,Total,520.701
LVA,Latvia,2010,7,Domestic,0
LVA,Latvia,2010,7,International,520.701
LTU,Lithuania,2010,7,Total,251.326
LTU,Lithuania,2010,7,Domestic,0.145
LTU,Lithuania,2010,7,International,251.181
LUX,Luxembourg,2010,7,Total,171.422
LUX,Luxembourg,2010,7,Domestic,0.061
LUX,Luxembourg,2010,7,International,171.361
MLT,Malta,2010,7,Total,401.969
MLT,Malta,2010,7,Domestic,0
MLT,Malta,2010,7,International,401.969
NLD,Netherlands,2010,7,Total,5124.275
NLD,Netherlands,2010,7,Domestic,0.167
NLD,Netherlands,2010,7,International,5124.108
NOR,Norway,2010,7,Total,2959.234
NOR,Norway,2010,7,Domestic,982.918
NOR,Norway,2010,7,International,1976.316
POL,Poland,2010,7,Total,2144.399
POL,Poland,2010,7,Domestic,94.841
POL,Poland,2010,7,International,2049.558
PRT,Portugal,2010,7,Total,2925.232
PRT,Portugal,2010,7,Domestic,327.044
PRT,Portugal,2010,7,International,2598.188
ROU,Romania,2010,7,Total,926.526
ROU,Romania,2010,7,Domestic,67.717
ROU,Romania,2010,7,International,858.809
SVK,Slovakia,2010,7,Total,285.183
SVK,Slovakia,2010,7,Domestic,3.328
SVK,Slovakia,2010,7,International,281.855
SVN,Slovenia,2010,7,Total,188.943
SVN,Slovenia,2010,7,Domestic,0
SVN,Slovenia,2010,7,International,188.943
ESP,Spain,2010,7,Total,17291.187
ESP,Spain,2010,7,Domestic,3818.087
ESP,Spain,2010,7,International,13473.1
SWE,Sweden,2010,7,Total,2403.868
SWE,Sweden,2010,7,Domestic,340.095
SWE,Sweden,2010,7,International,2063.773
