ADM_name,ISO3,Name_short,Date_b19,Date_e19,Date_b18,Date_e18
Qatar,QAT,summer holiday,07/07/2019,08/09/2019,,
Romania,ROU,summer holiday,14/06/2019,09/09/2019,,
Russia,RUS,summer holiday,31/05/2019,03/09/2019,,
Russia,RUS,autumn holiday,01/11/2019,11/11/2019,,
Rwanda,RWA,summer holiday,20/07/2019,12/08/2019,,
Rwanda,RWA,winter holiday,09/11/2019,14/01/2020,,
Saint Kitts & Nevis,KNA,summer holiday,12/07/2019,02/09/2019,,
Saint Lucia,LCA,summer holiday,19/06/2019,02/09/2019,,
Saint Pierre & Miquelon,SPM,summer holiday,03/07/2019,05/09/2019,,
Saint Pierre & Miquelon,SPM,autumn holiday,25/10/2019,06/11/2019,,
Samoa,WSM,break between school years/terms,14/12/2019,26/01/2020,14/12/2018,26/01/2019
Samoa,WSM,break between school years/terms,29/06/2019,21/07/2019,,
SaoTom? and Principe,STP,summer holiday,21/06/2019,09/09/2019,,
Saudi Arabia,SAU,summer holiday,20/06/2019,01/09/2019,,
Senegal,SEN,summer holiday,05/07/2019,02/10/2019,,
Serbia,SRB,summer holiday,14/06/2019,02/09/2019,,
Seychelles,SYC,summer holiday,09/08/2019,09/09/2019,,
Sierra Leone,SLE,summer holiday,13/06/2019,27/08/2019,,
Singapore,SGP,summer holiday,01/06/2019,30/06/2019,,
Singapore,SGP,break between school years/terms,16/11/2019,01/01/2020,,
Slovakia,SVK,summer holiday,29/06/2019,02/09/2019,,
Slovenia,SVN,summer holiday,25/06/2019,02/09/2019,,
Solomon Islands,SLB,break between school years/terms,22/06/2019,21/07/2019,,
Solomon Islands,SLB,break between school years/terms,13/12/2019,31/01/2020,22/12/2018,27/01/2019
Somalia,SOM,break between school years/terms,31/05/2019,31/08/2019,,
South Africa,ZAF,break between school years/terms,23/09/2019,30/09/2019,,
South Africa,ZAF,break between school years/terms,18/03/2019,01/04/2019,,
South Africa,ZAF,break between school years/terms,17/06/2019,08/07/2019,,
South Africa,ZAF,break between school years/terms,05/12/2019,07/01/2020,,
South Korea (Republic of),KOR,summer holiday,24/07/2019,02/09/2019,,
South Korea (Republic of),KOR,winter holiday,15/12/2019,31/01/2020,,
South Sudan,SSD,break between school years/terms,20/12/2019,31/01/2020,22/12/2018,31/01/2019
Spain,ESP,summer holiday,21/06/2019,10/09/2019,,
Sri Lanka,LKA,break between school years/terms,20/12/2019,08/01/2020,,
Sri Lanka,LKA,break between school years/terms,06/04/2019,05/05/2019,,
Sri Lanka,LKA,summer holiday,26/07/2019,02/09/2019,,
St Barthelemy,BLM,summer holiday,06/07/2019,02/09/2019,,
St Maarten (Dutch),SXM,break between school years/terms,07/05/2019,06/06/2019,,
St Maarten (Dutch),SXM,summer holiday,12/07/2019,26/08/2019,,
St Maarten (Dutch),SXM,autumn holiday,18/10/2019,28/10/2019,,
Sudan,SDN,break between school years/terms,18/07/2019,01/09/2019,,
Sudan,SDN,break between school years/terms,19/12/2019,12/01/2020,19/12/2018,12/01/2019
Suriname,SUR,summer holiday,07/06/2019,19/08/2019,,
Swaziland,SWZ,break between school years/terms,13/04/2019,05/05/2019,,
Swaziland,SWZ,winter holiday,09/08/2019,10/09/2019,,
Swaziland,SWZ,winter holiday,06/12/2019,15/01/2020,,
Sweden,SWE,summer holiday,07/06/2019,19/08/2019,,
Sweden,SWE,autumn holiday,30/10/2019,04/11/2019,,
Switzerland,CHE,autumn holiday,27/09/2019,21/10/2019,,
Switzerland,CHE,summer holiday,05/07/2019,19/08/2019,,
Syrian Arab Republic,SYR,summer holiday,11/07/2019,01/09/2019,,
Taiwan,TWN,winter holiday,21/01/2019,10/02/2019,,
Taiwan,TWN,summer holiday,01/07/2019,29/08/2019,,
Tajikistan,TJK,summer holiday,15/06/2019,02/09/2019,,
Tanzania (United Republic of),TZA,summer holiday,14/06/2019,15/08/2019,,
Thailand,THA,break between school years/terms,01/10/2019,31/10/2019,,
Thailand,THA,break between school years/terms,01/03/2019,30/04/2019,,
Timor-Leste,TLS,break between school years/terms,21/12/2019,11/01/2020,22/12/2018,11/01/2019
Togo,TGO,summer holiday,05/07/2019,16/09/2019,,
Tokelau,TKL,break between school years/terms,08/06/2019,01/09/2019,,
Tonga,TON,break between school years/terms,07/12/2019,19/01/2020,09/12/2018,20/01/2019
Trinidad and Tobago,TTO,summer holiday,05/07/2019,02/09/2019,,
Tunisia,TUN,summer holiday,29/06/2019,17/09/2019,,
Turkey,TUR,summer holiday,14/06/2019,16/09/2019,,
Turkmenistan,TKM,break between school years/terms,22/06/2019,08/09/2019,,
Turkmenistan,TKM,autumn holiday,15/11/2019,25/11/2019,,
Turks & Caicos (Islands),TCA,summer holiday,28/06/2019,05/09/2019,,
Uganda,UGA,break between school years/terms,04/05/2019,26/05/2019,,
Uganda,UGA,summer holiday,24/08/2019,15/09/2019,,
Uganda,UGA,break between school years/terms,30/11/2019,02/02/2020,,
