"ADM_name","ISO3","Name_short","Date_b19","Date_e19","Date_b18","Date_e18","Date_b17","Date_e17","Date_b16","Date_e16","Date_b15","Date_e15","Date_b14","Date_e14","Date_b13","Date_e13","Date_b12","Date_e12","Date_b11","Date_e11","Date_b10","Date_e10","Date_b09","Date_e09"
"Nepal","NPL","break between school years/terms",2019-03-25,2019-04-17,2018-03-25,2018-04-15,2017-03-25,2017-04-16,2016-03-26,2016-04-17,2015-03-25,2015-04-17,2014-03-25,2014-04-17,2013-03-25,2013-04-17,2012-03-25,2012-04-15,2011-03-26,2011-04-17,2010-03-27,2010-04-17,2009-03-25,2009-04-17
"Netherlands","NLD","summer holiday",2019-07-13,2019-08-25,2018-07-14,2018-08-25,2017-07-15,2017-08-25,2016-07-13,2016-08-25,2015-07-13,2015-08-23,2014-07-13,2014-08-24,2013-07-13,2013-08-25,2012-07-14,2012-08-25,2011-07-13,2011-08-25,2010-07-13,2010-08-25,2009-07-13,2009-08-23
"Netherlands","NLD","autumn holiday",2019-10-19,2019-10-27,2018-10-20,2018-10-27,2017-10-21,2017-10-27,2016-10-19,2016-10-27,2015-10-19,2015-10-25,2014-10-19,2014-10-26,2013-10-19,2013-10-27,2012-10-20,2012-10-27,2011-10-19,2011-10-27,2010-10-19,2010-10-27,2009-10-19,2009-10-25
"New Caledonia","NCL","spring holiday",2019-04-06,2019-04-14,2018-04-07,2018-04-14,2017-04-08,2017-04-14,2016-04-06,2016-04-14,2015-04-06,2015-04-12,2014-04-06,2014-04-13,2013-04-06,2013-04-14,2012-04-07,2012-04-14,2011-04-06,2011-04-14,2010-04-06,2010-04-14,2009-04-06,2009-04-12
"New Caledonia","NCL","spring holiday",2019-10-12,2019-10-27,2018-10-13,2018-10-27,2017-10-14,2017-10-27,2016-10-12,2016-10-27,2015-10-12,2015-10-25,2014-10-12,2014-10-26,2013-10-12,2013-10-27,2012-10-13,2012-10-27,2011-10-12,2011-10-27,2010-10-12,2010-10-27,2009-10-12,2009-10-25
"New Caledonia","NCL","spring holiday",2019-06-08,2019-06-23,2018-06-09,2018-06-23,2017-06-10,2017-06-23,2016-06-08,2016-06-23,2015-06-08,2015-06-21,2014-06-08,2014-06-22,2013-06-08,2013-06-23,2012-06-09,2012-06-23,2011-06-08,2011-06-23,2010-06-08,2010-06-23,2009-06-08,2009-06-21
"New Caledonia","NCL","spring holiday",2019-08-10,2019-08-25,2018-08-11,2018-08-25,2017-08-12,2017-08-25,2016-08-10,2016-08-25,2015-08-10,2015-08-23,2014-08-10,2014-08-24,2013-08-10,2013-08-25,2012-08-11,2012-08-25,2011-08-10,2011-08-25,2010-08-10,2010-08-25,2009-08-10,2009-08-23
"New Caledonia","NCL","spring holiday",2019-10-12,2019-10-27,2018-10-13,2018-10-27,2017-10-14,2017-10-27,2016-10-12,2016-10-27,2015-10-12,2015-10-25,2014-10-12,2014-10-26,2013-10-12,2013-10-27,2012-10-13,2012-10-27,2011-10-12,2011-10-27,2010-10-12,2010-10-27,2009-10-12,2009-10-25
"New Zealand (Aotearoa)","NZL","spring holiday",2019-09-28,2019-10-13,2018-09-29,2018-10-13,2017-09-30,2017-10-13,2016-09-28,2016-10-13,2015-09-28,2015-10-11,2014-09-28,2014-10-12,2013-09-28,2013-10-13,2012-09-29,2012-10-13,2011-09-28,2011-10-13,2010-09-28,2010-10-13,2009-09-28,2009-10-11
"New Zealand (Aotearoa)","NZL","winter holiday",2019-07-06,2019-07-21,2018-07-07,2018-07-21,2017-07-08,2017-07-21,2016-07-06,2016-07-21,2015-07-06,2015-07-19,2014-07-06,2014-07-20,2013-07-06,2013-07-21,2012-07-07,2012-07-21,2011-07-06,2011-07-21,2010-07-06,2010-07-21,2009-07-06,2009-07-19
